Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,11/5/90,1.0066
S&P 500 Total Return Index,11/6/90,-0.9219
S&P 500 Total Return Index,11/7/90,-1.7914
S&P 500 Total Return Index,11/8/90,0.5755
S&P 500 Total Return Index,11/9/90,2.0396
S&P 500 Total Return Index,11/12/90,1.8291
S&P 500 Total Return Index,11/13/90,-0.5536
S&P 500 Total Return Index,11/14/90,0.8776
S&P 500 Total Return Index,11/15/90,-1.0501
S&P 500 Total Return Index,11/16/90,0.0626
S&P 500 Total Return Index,11/19/90,0.7023
S&P 500 Total Return Index,11/20/90,-1.2593
S&P 500 Total Return Index,11/21/90,0.2345
S&P 500 Total Return Index,11/23/90,-0.2938
S&P 500 Total Return Index,11/26/90,0.4836
S&P 500 Total Return Index,11/27/90,0.541
S&P 500 Total Return Index,11/28/90,-0.0453
S&P 500 Total Return Index,11/29/90,-0.4789
S&P 500 Total Return Index,11/30/90,1.8336
S&P 500 Total Return Index,12/3/90,0.6514
S&P 500 Total Return Index,12/4/90,0.7139
S&P 500 Total Return Index,12/5/90,1.095
S&P 500 Total Return Index,12/6/90,-0.251
S&P 500 Total Return Index,12/7/90,-0.3966
S&P 500 Total Return Index,12/10/90,0.3652
S&P 500 Total Return Index,12/11/90,-0.7059
S&P 500 Total Return Index,12/12/90,1.149
S&P 500 Total Return Index,12/13/90,-0.2506
S&P 500 Total Return Index,12/14/90,-0.7647
S&P 500 Total Return Index,12/17/90,-0.2394
S&P 500 Total Return Index,12/18/90,1.2414
S&P 500 Total Return Index,12/19/90,0.0518
S&P 500 Total Return Index,12/20/90,-0.0245
S&P 500 Total Return Index,12/21/90,0.4931
S&P 500 Total Return Index,12/24/90,-0.4825
S&P 500 Total Return Index,12/26/90,0.2942
S&P 500 Total Return Index,12/27/90,-0.7713
S&P 500 Total Return Index,12/28/90,0.1615
S&P 500 Total Return Index,12/31/90,0.4563
S&P 500 Total Return Index,1/2/91,-1.1397
S&P 500 Total Return Index,1/3/91,-1.3867
S&P 500 Total Return Index,1/4/91,-0.2511
S&P 500 Total Return Index,1/7/91,-1.7091
S&P 500 Total Return Index,1/8/91,-0.1708
S&P 500 Total Return Index,1/9/91,-1.0747
