Name,ReferenceDate,DailyReturn,Add1InPercentSpace,Total Return
S&P 500 Total Return Index,12/28/90,0.1615,1.001615,-3.5447%
S&P 500 Total Return Index,12/31/90,0.4563,1.004563,-3.1046%
S&P 500 Total Return Index,1/2/91,-1.1397,0.988603,-4.2089%
S&P 500 Total Return Index,1/3/91,-1.3867,0.986133,-5.5372%
S&P 500 Total Return Index,1/4/91,-0.2511,0.997489,-5.7744%
S&P 500 Total Return Index,1/7/91,-1.7091,0.982909,-7.3848%
S&P 500 Total Return Index,1/8/91,-0.1708,0.998292,-7.5430%
S&P 500 Total Return Index,1/9/91,-1.0747,0.989253,-8.5367%
S&P 500 Total Return Index,1/10/91,0.974,1.00974,-7.6458%
S&P 500 Total Return Index,1/11/91,0.2255,1.002255,-7.4375%
S&P 500 Total Return Index,1/14/91,-0.8457,0.991543,-8.2203%
S&P 500 Total Return Index,1/15/91,0.3992,1.003992,-7.8540%
S&P 500 Total Return Index,1/16/91,0.7837,1.007837,-7.1318%
S&P 500 Total Return Index,1/17/91,3.7321,1.037321,-3.6659%
S&P 500 Total Return Index,1/18/91,1.3078,1.013078,-2.4060%
S&P 500 Total Return Index,1/21/91,-0.3511,0.996489,-2.7487%
S&P 500 Total Return Index,1/22/91,-0.8293,0.991707,-3.5552%
S&P 500 Total Return Index,1/23/91,0.5821,1.005821,-2.9938%
S&P 500 Total Return Index,1/24/91,1.402,1.01402,-1.6337%
S&P 500 Total Return Index,1/25/91,0.3885,1.003885,-1.2516%
S&P 500 Total Return Index,1/28/91,0.008,1.00008,-1.2437%
S&P 500 Total Return Index,1/29/91,-0.0294,0.999706,-1.2727%
S&P 500 Total Return Index,1/30/91,1.519,1.01519,0.2269%
S&P 500 Total Return Index,1/31/91,0.8862,1.008862,1.1152%
S&P 500 Total Return Index,2/1/91,-0.2502,0.997498,0.8622%
S&P 500 Total Return Index,2/4/91,1.6149,1.016149,2.4910%
S&P 500 Total Return Index,2/5/91,0.8924,1.008924,3.4056%
S&P 500 Total Return Index,2/6/91,1.9422,1.019422,5.4140%
S&P 500 Total Return Index,2/7/91,-0.4026,0.995974,4.9896%
S&P 500 Total Return Index,2/8/91,0.8084,1.008084,5.8383%
S&P 500 Total Return Index,2/11/91,2.6148,1.026148,8.6058%
S&P 500 Total Return Index,2/12/91,-0.8203,0.991797,7.7149%
S&P 500 Total Return Index,2/13/91,0.9837,1.009837,8.7745%
S&P 500 Total Return Index,2/14/91,-1.2963,0.987037,7.3644%
S&P 500 Total Return Index,2/15/91,1.3477,1.013477,8.8114%
S&P 500 Total Return Index,2/19/91,0.0969,1.000969,8.9168%
S&P 500 Total Return Index,2/20/91,-1.147,0.98853,7.6675%
S&P 500 Total Return Index,2/21/91,-0.0465,0.999535,7.6175%
S&P 500 Total Return Index,2/22/91,0.2131,1.002131,7.8468%
S&P 500 Total Return Index,2/25/91,0.4741,1.004741,8.3581%
S&P 500 Total Return Index,2/26/91,-1.1943,0.988057,7.0640%
S&P 500 Total Return Index,2/27/91,1.3638,1.013638,8.5241%
S&P 500 Total Return Index,2/28/91,-0.1627,0.998373,8.3475%
S&P 500 Total Return Index,3/1/91,0.9341,1.009341,9.3596%
S&P 500 Total Return Index,3/4/91,-0.2748,0.997252,9.0591%
S&P 500 Total Return Index,3/5/91,2.0107,1.020107,11.2520%
S&P 500 Total Return Index,3/6/91,-0.1421,0.998579,11.0939%
S&P 500 Total Return Index,3/7/91,-0.0593,0.999407,11.0280%
S&P 500 Total Return Index,3/8/91,-0.2398,0.997602,10.7617%
S&P 500 Total Return Index,3/11/91,-0.5021,0.994979,10.2056%
S&P 500 Total Return Index,3/12/91,-0.7797,0.992203,9.3463%
S&P 500 Total Return Index,3/13/91,1.2317,1.012317,10.6931%
S&P 500 Total Return Index,3/14/91,-0.2833,0.997167,10.3796%
S&P 500 Total Return Index,3/15/91,0.0239,1.000239,10.4059%
S&P 500 Total Return Index,3/18/91,-0.3939,0.996061,9.9710%
S&P 500 Total Return Index,3/19/91,-1.4764,0.985236,8.3474%
S&P 500 Total Return Index,3/20/91,0.3625,1.003625,8.7402%
S&P 500 Total Return Index,3/21/91,-0.3612,0.996388,8.3474%
S&P 500 Total Return Index,3/22/91,0.2919,1.002919,8.6637%
S&P 500 Total Return Index,3/25/91,0.6525,1.006525,9.3727%
S&P 500 Total Return Index,3/26/91,1.7495,1.017495,11.2862%
S&P 500 Total Return Index,3/27/91,-0.251,0.99749,11.0069%
S&P 500 Total Return Index,3/28/91,-0.0332,0.999668,10.9700%
S&P 500 Total Return Index,4/1/91,-1.0189,0.989811,9.8393%
S&P 500 Total Return Index,4/2/91,2.2148,1.022148,12.2721%
S&P 500 Total Return Index,4/3/91,-0.1385,0.998615,12.1166%
S&P 500 Total Return Index,4/4/91,0.2633,1.002633,12.4118%
S&P 500 Total Return Index,4/5/91,-1.1606,0.988394,11.1071%
S&P 500 Total Return Index,4/8/91,0.8825,1.008825,12.0876%
S&P 500 Total Return Index,4/9/91,-1.3403,0.986597,10.5853%
S&P 500 Total Return Index,4/10/91,-0.1096,0.998904,10.4641%
S&P 500 Total Return Index,4/11/91,1.2025,1.012025,11.7925%
S&P 500 Total Return Index,4/12/91,0.7332,1.007332,12.6121%
S&P 500 Total Return Index,4/15/91,0.227,1.00227,12.8677%
S&P 500 Total Return Index,4/16/91,1.6883,1.016883,14.7733%
S&P 500 Total Return Index,4/17/91,0.7326,1.007326,15.6141%
S&P 500 Total Return Index,4/18/91,-0.5084,0.994916,15.0263%
